
This is storm data analysis for Atlantic
     Storm_ID            name            distance     storm propagation  max propagation     storm energy    max surface area 
     AL071881          UNNAMED          4223561.8         156428.21          32792.27           160.91              0         
     AL011882          UNNAMED          875212.81          218803.2          59113.44            24.0               0         
     AL021882          UNNAMED          6101173.44        132634.21          61536.98           288.59              0         
     AL031882          UNNAMED           684906.1          76100.68          51304.45           58.13               0         
     AL041882          UNNAMED          1526734.7         101782.31          34105.98           92.79               0         
     AL051882          UNNAMED          2875878.85        151362.04          49983.11           121.9               0         
     AL061882          UNNAMED          3694301.57         83961.4           43004.72           282.12              0         
     AL011883          UNNAMED          7762766.4         180529.45          64017.56           267.84              0         
     AL021883          UNNAMED          7574654.65        194221.91          76231.48           239.79              0         
     AL031883          UNNAMED          4097645.38        107832.77          37857.16           214.44              0         
     AL041883          UNNAMED          6073617.7          224948.8          80196.38           173.39              0         
     AL011884          UNNAMED          4647147.22        202049.88          61535.35           133.25              0         
     AL021884          UNNAMED          6697860.89        121779.29          68359.87           338.27              0         
     AL031884          UNNAMED          7331694.52        166629.42          99711.98           278.59              0         
     AL041884          UNNAMED          2812978.96         65418.12          78017.68           274.27              0         
     AL011885          UNNAMED          5071986.27        144913.89          47692.39           211.19              0         
     AL021885          UNNAMED          6362541.56        205243.28          80946.98           200.86              0         
     AL031885          UNNAMED          1709680.29        142473.36          40083.66           74.79               0         
     AL041885          UNNAMED          4476315.38        159868.41          57899.7            183.16              0         
     AL051885          UNNAMED          1463296.65         97553.11          49773.8             97.9               0         
     AL061885          UNNAMED          2121117.5          58919.93          39663.55           239.0               0         
     AL071885          UNNAMED          1984404.21        132293.61          29371.53           100.85              0         
     AL081885          UNNAMED          2160173.38        135010.84          32778.47           100.63              0         
     AL011886          UNNAMED          1305812.72        118710.25          28629.61           73.55               0         
     AL021886          UNNAMED          4168786.45        130274.58          64111.97           197.2               0         
     AL031886          UNNAMED          2929652.28        133166.01          64111.97           141.36              0         
     AL041886          UNNAMED          7574311.66        176146.78          58909.71           270.85              0         
     AL051886          UNNAMED          5324113.91        136515.74          37414.4            246.45              0         
     AL061886          UNNAMED          6818674.95        133699.51          42374.18           311.22              0         
     AL071886          UNNAMED          5345573.92        254551.14          63159.03           137.77              0         
     AL081886          UNNAMED          3978685.21        113676.72          46983.26           217.62              0         
     AL091886          UNNAMED          1313137.84         37518.22          15552.84           210.54              0         
     AL101886          UNNAMED          2036965.94         84873.58          23600.03           146.11              0         
     AL111886          UNNAMED          1632619.74         70983.47          27386.08           139.73              0         
     AL121886          UNNAMED          2173572.74        108678.64          27565.62           123.24              0         
     AL011887          UNNAMED          2754467.81        131165.13          95947.78           129.24              0         
     AL021887          UNNAMED          1817490.24         95657.38          95947.78           119.75              0         
     AL031887          UNNAMED          1400811.22        100057.94          21916.91           85.31               0         
     AL041887          UNNAMED          4962047.93        137834.66          43504.27           209.01              0         
     AL051887          UNNAMED          3862925.52         110369.3          29944.73           212.34              0         
     AL061887          UNNAMED          7354053.71        198758.21          66906.21           238.33              0         
     AL071887          UNNAMED          6485257.59        170664.67          86124.32           244.33              0         
     AL081887          UNNAMED          5559226.38        252692.11          86124.32           143.58              0         
     AL091887          UNNAMED          4913316.83        106811.24          40931.26           281.24              0         
     AL101887          UNNAMED          3552631.26        222039.45          62785.07           106.77              0         
     AL111887          UNNAMED          1353541.18        135354.12          62785.07           65.64               0         
     AL121887          UNNAMED           663682.7          94811.81          25904.87           39.49               0         
     AL131887          UNNAMED          6874562.31        132203.12          99025.37           328.09              0         
     AL141887          UNNAMED          1534325.22        153432.52          99025.37           71.09               0         
     AL151887          UNNAMED          2394509.81        140853.52          32303.94           88.76               0         
     AL161887          UNNAMED          7892331.87        232127.41          83991.94           210.84              0         
     AL171887          UNNAMED          3017638.0         104056.48          53923.44           179.87              0         
     AL181887          UNNAMED          5077990.55        203119.62          63877.68           153.89              0         
     AL191887          UNNAMED          2763246.59        125602.12          34868.97           130.52              0         
     AL011888          UNNAMED          601306.83          54664.26          11301.26           69.63               0         
     AL021888          UNNAMED          693813.35          77090.37          20389.13           55.06               0         
     AL031888          UNNAMED          6696175.95        155725.02          72462.13           271.83              0         
     AL041888          UNNAMED          3792900.48        114936.38          25932.18           203.6               0         
     AL051888          UNNAMED          3784505.18        140166.86          46224.5            166.66              0         
     AL061888          UNNAMED          2961794.34         174223.2          59589.34           106.97              0         
     AL071888          UNNAMED          3386133.95        178217.58          68605.55           122.77              0         
     AL081888          UNNAMED          3634068.66        121135.62          68605.55           182.34              0         
     AL091888          UNNAMED          6442608.45        102263.63          32586.99           387.11              0         
     AL011889          UNNAMED          2600662.99         113072.3          32586.99           143.14              0         
     AL021889          UNNAMED          3599229.26        149967.89          47719.65           151.8               0         
